"Number_of_reads_in_clusters"	1122047
"Number_of_clusters"	125809
"Number_of_superclusters"	125755
"Number_of_singlets"	581687
"Number_of_analyzed_reads"	1703734

"Cluster"	"Supercluster"	"Size"	"Size_adjusted"	"Automatic_annotation"	"TAREAN_annotation"	"Final_annotation"
10	1	16943	16943	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
11	1	15036	15036	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
12	1	14834	14834	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
13	1	13567	13567	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
15	1	12846	12846	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
16	1	12143	12143	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
19	1	10782	10782	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
20	1	9998	9998	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
21	1	9445	9445	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
22	1	9277	9277	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
26	1	8711	8711	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
27	1	8554	8554	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
3	1	23670	23670	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
32	1	7840	7840	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
33	1	7612	7612	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
35	1	7588	7588	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
38	1	7398	7398	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
42	1	6478	6478	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
43	1	6457	6457	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
44	1	6163	6163	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
50	1	5263	5263	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
53	1	4861	4861	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
54	1	4828	4828	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
55	1	4776	4776	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
6	1	21176	21176	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
67	1	3232	3232	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
71	1	2923	2923	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
7	1	21171	21171	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
73	1	2869	2869	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
17	2	11404	11404	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
2	2	25830	25830	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
37	2	7507	7507	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
51	2	5022	5022	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
56	2	4751	4751	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
62	2	3977	3977	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
1	3	34520	34520	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
4	3	21904	21904	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
25	4	8910	8910	"All/repeat/mobile_element/Class_I/pararetrovirus"	"Other"	""
29	4	7984	7984	"All/repeat/mobile_element/Class_I/pararetrovirus"	"Other"	""
36	4	7562	7562	"All/repeat/mobile_element/Class_I/pararetrovirus"	"Other"	""
45	4	6039	6039	"All/repeat/mobile_element/Class_I/pararetrovirus"	"Other"	""
49	4	5450	5450	"All/repeat/mobile_element/Class_I/pararetrovirus"	"Other"	""
52	4	4864	4864	"All/repeat/mobile_element/Class_I/pararetrovirus"	"Other"	""
57	4	4711	4711	"All/repeat/mobile_element/Class_I/pararetrovirus"	"Other"	""
90	4	1647	1647	"All/repeat/mobile_element/Class_I/pararetrovirus"	"Other"	""
8	5	19877	19877	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
9	5	19845	19845	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
5	6	21620	21620	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
101	7	1218	1218	"All/organelle/plastid"	"Other"	""
111	7	872	872	"All/organelle/plastid"	"Other"	""
65	7	3879	3879	"All/organelle/plastid"	"Other"	""
76	7	2672	2672	"All/organelle/plastid"	"Other"	""
79	7	2579	2579	"All/organelle/plastid"	"Other"	""
83	7	2213	2213	"All/organelle/plastid"	"Other"	""
14	8	13155	13155	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
31	9	7907	7907	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
63	9	3947	3947	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
18	10	10994	10994	"All/repeat/mobile_element/Class_I/LINE"	"Other"	""
23	11	9053	9053	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
24	12	8987	8987	"All/repeat/mobile_element/Class_I/LTR"	"Other"	""
28	13	8291	8291	"All"	"Other"	""
30	14	7926	7926	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
