,All/repeat,All/repeat/mobile_element,All/repeat/mobile_element/Class_I,All/repeat/mobile_element/Class_I/LINE,All/repeat/mobile_element/Class_I/LTR,All/repeat/mobile_element/Class_I/LTR/Ty1_copia,All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Ale,All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Alesia,All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Angela,All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Bianca,All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Ikeros,All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Ivana,All/repeat/mobile_element/Class_I/LTR/Ty1_copia/TAR,All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Tork,All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy,All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus,All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/CRM,All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Galadriel,All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Reina,All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay,All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Athila,All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Ogre,All/repeat/mobile_element/Class_I/pararetrovirus,All/repeat/mobile_element/Class_II/Subclass_1/TIR/EnSpm_CACTA,All/repeat/mobile_element/Class_II/Subclass_1/TIR/hAT,All/repeat/mobile_element/Class_II/Subclass_1/TIR/MuDR_Mutator,All/repeat/mobile_element/Class_II/Subclass_1/TIR/PIF_Harbinger,All/repeat/mobile_element/Class_II/Subclass_2/Helitron,All/repeat/rDNA/45S_rDNA,All/repeat/rDNA/45S_rDNA/18S_rDNA,All/repeat/rDNA/45S_rDNA/25S_rDNA,All/repeat/rDNA/5S_rDNA,All/repeat/satellite,Other
All/repeat,1,-0.145263124,-0.168151427,0.627078132,-0.511362326,0.232178191,0.337919434,0.169546309,-0.119602003,0.046232953,0.15967386,0.100762207,0.2135946,0.569232831,-0.119602003,-0.119602003,-0.114949191,0.710312152,-0.119602003,0.466954962,-0.038889829,-0.064660016,-0.292200031,-0.131001236,-0.052654308,0.072616529,-0.364003749,-0.047957938,0.699123606,0.015425125,-0.218570742,0.421274556,-0.07633906,-0.34022869
All/repeat/mobile_element,-0.145263124,1,-0.115857516,0.246200345,-0.422959071,-0.17527286,0.128330632,0.19249081,-0.086753876,0.168128731,0.432455607,0.239732059,0.268502072,0.20275945,0.974765535,-0.086753876,0.250206543,0.001212143,-0.086753876,0.258722098,0.509593041,0.355014071,0.141890578,0.32775728,-0.035765085,0.459342948,-0.030056914,-0.086753876,0.006776493,-0.150888585,-0.158541317,-0.019987173,-0.206406961,-0.214475827
All/repeat/mobile_element/Class_I,-0.168151427,-0.115857516,1,-0.02261257,0.334032259,0.518983535,0.011609408,-0.095732069,0.988134241,0.140350358,0.223931723,-0.070937325,0.188061799,-0.048468288,-0.102563686,-0.146797734,0.362351484,-0.069950777,0.015309431,-0.168818129,0.368131115,0.011594274,0.011868012,0.421658029,0.142552997,0.373933919,0.14781538,-0.09228427,-0.096873481,-0.0970307,-0.101647392,-0.15761096,0.383903457,-0.141354578
All/repeat/mobile_element/Class_I/LINE,0.627078132,0.246200345,-0.02261257,1,-0.389353421,-0.030884027,0.208695965,0.364334252,0.049051865,0.110267283,0.109645982,0.143495915,0.401483811,0.695748216,0.202078598,-0.340517816,0.229819168,0.644813455,-0.258705588,0.367800687,0.117727136,0.141385108,-0.481578086,-0.076147513,0.181208344,0.185195654,-0.316798608,-0.02353806,0.72076932,-0.375856383,-0.334281873,0.378174662,0.059546258,-0.451317984
All/repeat/mobile_element/Class_I/LTR,-0.511362326,-0.422959071,0.334032259,-0.389353421,1,-0.063468695,-0.435839006,-0.226107879,0.30814224,-0.292724093,-0.374010188,-0.323402487,-0.474515981,-0.500033718,-0.365562277,0.18984259,-0.009577753,-0.44858243,0.225865216,-0.81440092,-0.380364798,-0.066685062,-0.209778518,-0.188263219,-0.244997371,-0.287474176,0.040073007,0.081722193,-0.417387557,0.217120622,0.380029242,-0.275558,0.556475045,0.549960537
All/repeat/mobile_element/Class_I/LTR/Ty1_copia,0.232178191,-0.17527286,0.518983535,-0.030884027,-0.063468695,1,0.289723658,-0.14622602,0.482269808,0.351270861,0.480776087,0.102045119,0.410512503,0.081120132,-0.14431044,-0.14431044,0.379444756,-0.12626564,-0.14431044,0.246973192,0.416838238,-0.021134496,0.218069557,0.465082101,0.035681619,0.381531095,0.290912421,-0.14431044,-0.116465182,-0.042381666,-0.263725013,-0.080866872,0.278271529,-0.35825508
All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Ale,0.337919434,0.128330632,0.011609408,0.208695965,-0.435839006,0.289723658,1,-0.130052461,-0.051708226,0.748408103,0.680376672,0.825624811,0.625895746,0.508639603,0.077744237,-0.457306819,0.670908667,-0.036690335,0.282440013,0.727550864,0.610842503,0.525660686,0.527589724,0.611540051,0.310090209,0.537101397,0.355643643,-0.204802499,-0.095250759,0.103904311,-0.253953194,-0.229975839,-0.172315512,-0.670575945
All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Alesia,0.169546309,0.19249081,-0.095732069,0.364334252,-0.226107879,-0.14622602,-0.130052461,1,-0.092419285,0.285953216,-0.151269033,-0.282945018,0.090579284,0.663820704,0.211151946,-0.618455421,0.017342626,0.576897643,-0.008757723,0.369488521,-0.083878474,0.123099977,0.090668028,0.005016113,0.048082542,-0.115141482,0.013831132,0.252648322,0.601183796,-0.508674257,-0.367574696,0.618819894,-0.63514485,-0.448654827
All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Angela,-0.119602003,-0.086753876,0.988134241,0.049051865,0.30814224,0.482269808,-0.051708226,-0.092419285,1,0.070126937,0.165696202,-0.128846326,0.15141148,-0.057107695,-0.071428571,-0.071428571,0.306930152,0.011020935,-0.071428571,-0.212963146,0.321902063,-0.05225457,-0.11146458,0.354454267,0.126830429,0.341099985,0.038391853,-0.071428571,-0.017401582,-0.124233712,-0.130534568,-0.094128411,0.406378507,-0.091418678
All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Bianca,0.046232953,0.168128731,0.140350358,0.110267283,-0.292724093,0.351270861,0.748408103,0.285953216,0.070126937,1,0.485240643,0.655879278,0.73513372,0.531529609,0.126227726,-0.751163653,0.789854592,-0.115073074,0.010813148,0.680301309,0.554827994,0.334044336,0.678854144,0.748651591,0.395263309,0.438076163,0.501251663,0.089234462,-0.122277319,-0.383705814,-0.628588278,-0.098053598,-0.419858723,-0.794921747
