"bio1","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","mi"
"bio1",1,0.922937344075509,0.915272580815248,-0.0657850531781408,-0.0357117868985614,-0.11955963081354,0.132845818415357,-0.0329853628017587,-0.09407313390383,-0.164046632765432,0.00272035766754407,-0.243425964008742,-0.0332810838740884,-0.176277670243889,0.856872996930121,0.842338237401105,-0.222294238529708,0.887392338853353,0.863613074284852,0.0238591462731598
"bio10",0.922937344075509,1,0.698535574760055,-0.144324074413294,-0.0622613010239379,-0.208835343927109,0.223165338005951,-0.0571545219258245,-0.186009630170376,-0.124282206796325,-0.0905970202178141,-0.168022126928439,-0.331349795540976,0.208424899275201,0.93119938080188,0.613948851254888,0.0962852617360991,0.888731877881919,0.73083253131829,-0.023063143088265
"bio11",0.915272580815248,0.698535574760055,1,0.0186035689105577,-0.0195168911835026,-0.00442071122033886,-0.00431336441806052,-0.0185120945546526,0.0192420684086705,-0.230487358208115,0.13676190016599,-0.296321069410926,0.27801382847176,-0.553617076459329,0.653156431918068,0.959083698583654,-0.524736309630559,0.704547678996723,0.899599864391776,0.0608840219597324
"bio12",-0.0657850531781408,-0.144324074413294,0.0186035689105577,1,0.869496897733269,0.52452827076115,-0.214072291169248,0.910894345743234,0.544297020729637,0.642434159828552,0.655139161596776,-0.41571200450441,-0.00978161040035758,-0.195524086812406,-0.246330244400785,0.134647334956993,-0.358400880599646,-0.103155566260552,-0.00610397809352957,0.848292681949664
"bio13",-0.0357117868985614,-0.0622613010239379,-0.0195168911835026,0.869496897733269,1,0.21455570445498,0.190098113512133,0.982344777314468,0.233335063701721,0.650035302295592,0.470706143526415,-0.323031718725097,-0.153551868818585,-0.0481289899474956,-0.157435779380635,0.0514817206149375,-0.190312592129733,-0.0289890020663079,-0.0567030375772958,0.751584557687731
"bio14",-0.11955963081354,-0.208835343927109,-0.00442071122033886,0.52452827076115,0.21455570445498,1,-0.647293970503706,0.241749761610646,0.987757571408875,0.33856903102834,0.35424894156945,-0.328347830727794,0.182387692859483,-0.237696285480344,-0.308844418255942,0.109117523742307,-0.382445630366614,-0.140160989495533,-0.0196322604704757,0.4338123841641
"bio15",0.132845818415357,0.223165338005951,-0.00431336441806052,-0.214072291169248,0.190098113512133,-0.647293970503706,1,0.135122664713016,-0.66640840748848,-0.0425000738006791,-0.268942087873397,0.315408539884743,-0.244512593995171,0.266431575449665,0.294494585161246,-0.143254952704877,0.408618478457028,0.205743939383289,-0.0700932487333014,-0.217363120665041
"bio16",-0.0329853628017587,-0.0571545219258245,-0.0185120945546526,0.910894345743234,0.982344777314468,0.241749761610646,0.135122664713016,1,0.259276435269209,0.658163457068196,0.529761404876234,-0.330739869287036,-0.158447832535412,-0.0432793556409444,-0.150643411280949,0.0568869614997218,-0.190649182377309,-0.0293292400992543,-0.0506628436025755,0.79961615719998
"bio17",-0.09407313390383,-0.186009630170376,0.0192420684086705,0.544297020729637,0.233335063701721,0.987757571408875,-0.66640840748848,0.259276435269209,1,0.346286974668977,0.369556643120051,-0.365327544596815,0.176109501688347,-0.242974863378542,-0.2966519891619,0.139286971888542,-0.405988539809884,-0.118951037170228,0.01241472052275,0.453619696940624
"bio18",-0.164046632765432,-0.124282206796325,-0.230487358208115,0.642434159828552,0.650035302295592,0.33856903102834,-0.0425000738006791,0.658163457068196,0.346286974668977,1,0.0197981974969077,-0.247528618844531,-0.218255622287041,0.174136761874636,-0.283687358708308,-0.177727304758094,-0.0397680170854343,0.0509468608055002,-0.322560042278359,0.598330366816964
